player,teamAbbreviation,games,fieldGoals,threePointPercent,freeThrowPercent,rebounds,assists,steals,blocks,personalFouls,points
Jimmy Butler,MIN,59,437,0.35,0.854,314,288,116,24,78,153
Dwight Buycks,DET,29,82,0.333,0.878,41,59,19,2,39,154
Bruno Caboclo,TOR,2,0,0,1,1,0,0,1,39,155
Bruno Caboclo,SAC,10,9,0.2,0.833,21,3,2,4,7,156
Jose Calderon,CLE,57,93,0.464,0.8,84,117,27,2,81,157
Kentavious Caldwell-Pope,LAL,74,340,0.383,0.789,387,162,106,16,145,158
Isaiah Canaan,HOU,1,0,0,1,0,0,0,0,145,159
Isaiah Canaan,PHO,19,52,0.333,0.902,44,76,16,1,36,160
Clint Capela,HOU,74,441,0,0.56,802,68,58,137,185,161
DeMarre Carroll,BRK,73,325,0.371,0.764,479,147,59,30,165,162
Vince Carter,SAC,58,114,0.345,0.757,148,69,42,26,96,163
Michael Carter-Williams,CHO,52,76,0.237,0.82,138,116,44,23,99,164
Alex Caruso,LAL,37,50,0.302,0.7,65,75,23,10,52,165
Omri Casspi,GSW,53,120,0.455,0.725,200,51,18,19,71,166
Willie Cauley-Stein,SAC,73,388,0.25,0.619,510,172,77,67,71,167
Tyler Cavanaugh,ATL,39,67,0.36,0.81,127,27,9,4,71,168
Mario Chalmers,MEM,66,168,0.277,0.855,157,197,79,14,71,169
Tyson Chandler,PHO,46,121,121,134,53,16,27,59,71,170
Wilson Chandler,DEN,74,281,0.358,0.772,398,159,43,39,71,171
Marquese Chriss,PHO,72,202,0.295,0.608,395,83,51,70,71,172
Ian Clark,NOP,74,222,0.318,0.763,127,110,33,10,71,173
Jordan Clarkson,LAL,53,299,0.324,0.795,159,173,39,3,71,174
Jordan Clarkson,CLE,28,131,0.407,0.81,58,48,19,3,71,175
Gian Clavell,DAL,7,6,0.4,1,7,3,2,0,71,176
Antonius Cleveland,DAL,13,4,0,0.5,10,2,6,4,71,177
Antonius Cleveland,ATL,4,4,1,1,4,0,1,1,71,178
John Collins,ATL,74,314,0.34,0.715,541,98,47,80,71,179
Zach Collins,POR,66,115,0.31,0.643,221,52,17,31,71,180
Kyle Collinsworth,DAL,32,38,0.235,0.525,107,56,17,9,71,181
Darren Collison,IND,69,316,0.468,0.882,178,368,92,15,71,182
Nick Collison,OKC,15,13,13,7,4,0,0,7,71,183
Mike Conley,MEM,12,64,0.312,0.803,27,49,12,3,71,184
Pat Connaughton,POR,82,165,0.352,0.841,161,91,23,22,71,185
Quinn Cook,GSW,33,122,0.442,0.88,82,89,12,1,71,186
Charles Cooke,NOP,13,2,0.125,0.5,2,1,1,0,71,187
Jack Cooley,SAC,7,13,13,14,6,1,0,3,71,188
Matt Costello,SAS,4,2,2,8,2,2,1,7,71,189
DeMarcus Cousins,NOP,48,406,0.354,0.746,617,257,79,76,71,190
Robert Covington,PHI,80,345,0.369,0.853,433,156,137,72,71,191
Allen Crabbe,BRK,75,337,0.378,0.852,324,117,47,35,71,192
Torrey Craig,DEN,39,62,0.293,0.629,127,25,12,15,71,193
Jamal Crawford,MIN,80,308,0.331,0.903,99,185,40,9,71,194
Jordan Crawford,NOP,5,12,0.571,1,4,13,1,1,71,195
Jae Crowder,CLE,53,157,0.328,0.848,173,58,41,12,71,196
Jae Crowder,UTA,27,114,0.316,0.768,102,41,23,9,71,197
Dante Cunningham,NOP,51,99,0.324,0.556,193,26,27,16,71,198
Dante Cunningham,BRK,22,65,0.383,0.688,105,22,12,14,71,199
Stephen Curry,GSW,51,428,0.423,0.921,261,310,80,8,71,200
Troy Daniels,PHO,79,232,0.4,0.875,127,48,26,5,71,201
Anthony Davis,NOP,75,780,0.34,0.828,832,174,115,193,71,202
Deyonta Davis,MEM,62,161,161,75,40,15,39,32,71,203
Ed Davis,POR,78,170,0,0.667,575,40,32,52,71,204
Dewayne Dedmon,ATL,62,250,0.355,0.779,489,90,40,51,71,205
Sam Dekker,LAC,73,128,0.167,0.661,174,38,24,9,71,206
Malcolm Delaney,ATL,54,109,0.371,0.804,100,163,35,6,71,207
Matthew Dellavedova,MIL,38,55,0.372,0.926,64,145,14,0,71,208
Luol Deng,LAL,1,1,1,0,1,0,1,0,71,209
DeMar DeRozan,TOR,80,645,0.31,0.825,315,417,85,22,71,210
Cheick Diallo,NOP,52,102,102,47,19,11,21,28,71,211
Gorgui Dieng,MIN,79,186,0.311,0.775,360,71,45,39,71,212
Spencer Dinwiddie,BRK,80,324,0.326,0.813,259,524,68,23,71,213
Tyler Dorsey,ATL,56,144,0.362,0.714,130,79,17,5,71,214
Damyean Dotson,NYK,44,72,0.324,0.696,84,31,12,2,71,215
Milton Doyle,BRK,10,13,0.174,0.5,18,10,6,2,71,216
PJ Dozier,OKC,2,1,1,1,0,0,1,1,71,217
Goran Dragic,MIA,75,484,0.37,0.801,307,359,63,12,71,218
Larry Drew,PHI,3,1,0,1,2,0,0,1,71,219
Larry Drew,NOP,7,6,0.5,2,8,0,0,2,71,220
Andre Drummond,DET,78,466,0,0.605,1247,237,114,127,71,221
Jared Dudley,PHO,48,48,0.363,0.771,94,78,24,11,71,222
Kris Dunn,CHI,52,286,0.321,0.737,221,310,104,27,71,223
Kevin Durant,GSW,68,630,0.419,0.889,464,366,50,119,71,224
Jarell Eddie,BOS,2,0,0,1,1,0,0,0,71,225
Jarell Eddie,CHI,1,0,0,0,0,0,0,0,71,226
Henry Ellenson,DET,38,53,0.333,0.862,81,20,5,0,71,227
Wayne Ellington,MIA,77,285,0.392,0.859,218,79,53,8,71,228
Joel Embiid,PHI,63,510,0.308,0.769,690,199,40,111,71,229
James Ennis,MEM,45,108,0.357,0.877,157,49,32,12,71,230
James Ennis,DET,27,74,0.304,0.767,67,22,15,6,71,231
Tyler Ennis,LAL,54,94,0.25,0.759,95,105,30,10,71,232
Jawun Evans,LAC,48,89,0.278,0.776,84,100,36,6,71,233
Jeremy Evans,ATL,1,1,1,0,0,0,1,1,71,234
Tyreke Evans,MEM,52,366,0.399,0.785,265,269,57,17,71,235
Dante Exum,UTA,14,42,0.278,0.806,26,43,8,3,71,236
Kenneth Faried,DEN,32,76,0,0.706,153,18,12,13,71,237
Derrick Favors,UTA,77,395,0.222,0.651,552,102,54,82,71,238
Kay Felder,CHI,14,20,0.222,0.917,14,20,3,1,71,239
Kay Felder,DET,2,1,0,2,0,0,0,1,71,240
Cristiano Felicio,CHI,55,127,0,0.667,233,55,16,11,71,241
Raymond Felton,OKC,82,224,0.352,0.818,156,203,49,16,71,242
Terrance Ferguson,OKC,61,70,0.333,0.9,47,19,24,10,71,243
Yogi Ferrell,DAL,82,311,0.373,0.796,249,201,64,9,71,244
Dorian Finney-Smith,DAL,21,46,0.299,0.733,75,26,10,4,71,245
Bryn Forbes,SAS,80,209,0.39,0.667,110,80,28,2,71,246
Evan Fournier,ORL,57,368,0.379,0.867,180,165,47,16,71,247
De'Aaron Fox,SAC,73,328,0.307,0.723,204,320,70,20,71,248
Tim Frazier,WAS,59,68,0.304,0.767,115,194,47,7,71,249
Channing Frye,CLE,44,84,0.333,0.933,110,28,17,12,71,250
Channing Frye,LAL,9,20,0.36,0.75,25,10,1,1,71,251
Markelle Fultz,PHI,14,45,0,0.476,43,53,12,4,71,252
Danilo Gallinari,LAC,21,102,0.324,0.931,101,41,12,10,71,253
Langston Galloway,DET,58,126,0.344,0.805,92,58,35,5,71,254
Marc Gasol,MEM,73,434,0.341,0.834,592,305,54,101,71,255
Pau Gasol,SAS,77,287,0.358,0.756,619,238,24,79,71,256
Rudy Gay,SAS,57,253,0.314,0.772,291,73,46,38,71,257
Paul George,OKC,79,576,0.401,0.822,447,263,161,39,71,258
Marcus Georges-Hunt,MIN,42,21,0.267,0.619,16,7,6,0,71,259
Jonathan Gibson,BOS,4,14,0.5,0,4,0,0,3,71,260
Taj Gibson,MIN,82,425,0.2,0.768,584,99,62,59,71,261
Manu Ginobili,SAS,65,201,0.333,0.84,142,163,43,16,71,262
Rudy Gobert,UTA,56,276,276,165,80,44,129,107,71,263
Aaron Gordon,ORL,58,375,0.336,0.698,457,136,59,45,71,264
Eric Gordon,HOU,69,415,0.359,0.809,170,154,44,27,71,265
Marcin Gortat,WAS,82,290,290,181,151,40,61,99,71,266
Treveon Graham,CHO,63,96,0.412,0.695,121,59,33,2,71,267
Jerami Grant,OKC,81,244,0.291,0.675,319,57,31,77,71,268
Jerian Grant,CHI,74,209,0.326,0.745,172,342,63,8,71,269
Josh Gray,PHO,5,11,0.231,0.636,10,12,8,2,71,270
Danny Green,SAS,70,217,0.363,0.769,249,110,63,80,71,271
Draymond Green,GSW,70,281,0.301,0.775,535,508,95,91,71,272
Gerald Green,HOU,41,168,0.369,0.85,133,25,24,15,71,273
JaMychal Green,MEM,55,223,0.339,0.721,464,79,32,25,71,274
Jeff Green,CLE,78,295,0.312,0.868,246,99,41,34,71,275
Blake Griffin,LAC,33,255,0.342,0.785,262,179,30,9,71,276
Blake Griffin,DET,25,181,0.348,0.784,166,155,11,9,71,277
Daniel Hamilton,OKC,6,5,0.4,0,8,1,0,2,71,278
Tim Hardaway,NYK,57,360,0.317,0.816,224,155,62,10,71,279
James Harden,HOU,72,651,0.367,0.858,389,630,126,50,71,280
Maurice Harkless,POR,59,147,0.415,0.712,162,53,48,43,71,281
Montrezl Harrell,LAC,76,348,0.143,0.626,306,74,36,52,71,282
Devin Harris,DAL,44,118,0.352,0.83,85,85,33,8,71,283
Devin Harris,DEN,27,69,0.343,0.845,42,67,14,4,71,284
Gary Harris,DEN,67,440,0.396,0.827,176,194,122,15,71,285
Joe Harris,BRK,78,305,0.419,0.827,260,128,35,20,71,286
Tobias Harris,DET,48,320,0.409,0.846,244,94,34,15,71,287
Tobias Harris,LAC,32,242,0.414,0.8,193,98,37,20,71,288
Aaron Harrison,DAL,9,19,0.209,0.765,24,11,9,2,71,289
Andrew Harrison,MEM,56,181,0.331,0.78,131,177,38,26,71,290
Shaquille Harrison,PHO,23,59,0.231,0.737,61,55,26,7,71,291
Josh Hart,LAL,63,176,0.396,0.702,263,80,47,16,71,292
Udonis Haslem,MIA,14,3,0.125,0.5,10,5,0,2,71,293
Nigel Hayes,LAL,2,1,0,1,0,2,0,0,71,294
Nigel Hayes,TOR,2,2,1,0,0,0,1,0,71,295
Nigel Hayes,SAC,5,8,0.167,0,22,4,2,3,71,296
Gordon Hayward,BOS,1,1,0,0,0,0,0,0,71,297
Reggie Hearn,DET,3,1,0.5,0,0,0,0,0,71,298
Myke Henry,MEM,20,41,0.328,0.6,38,22,31,6,71,299
John Henson,MIL,76,287,0.143,0.57,513,114,45,109,71,300
Juan Hernangomez,DEN,25,29,0.28,0.833,54,12,6,3,71,301
Willy Hernangomez,NYK,26,49,0.2,0.429,67,21,8,7,71,302
Willy Hernangomez,CHO,22,42,0.571,0.758,116,12,10,9,71,303
Mario Hezonja,ORL,75,273,0.337,0.819,281,106,81,31,71,304
Isaiah Hicks,NYK,18,33,0.222,0.667,41,16,2,4,71,305
Buddy Hield,SAC,80,416,0.431,0.877,307,155,85,22,71,306
Nene Hilario,HOU,52,136,0,0.636,176,45,28,14,71,307
